Start,End,Text,Character,SentenceIndex,vaderNeg,vaderNeu,vaderPos,vaderCompound,roBERTaNeg,roBERTaNeu,roBERTaPos,roBERTaMajorSentiment,vaderMajorSentiment
21.396,22.896,thank .,Secondary,0,0.0,0.0,1.0,0.3612,0.04915872,0.6146238,0.3362175,Neutral,Positive
24.566,27.316,"'m looking forward involvement neuroscience center ,",Secondary,1,0.0,1.0,0.0,0.0,0.0013928826,0.06337178,0.9352353,Positive,Neutral
27.402,28.822,chief min . goodness .,Secondary,2,0.0,0.4,0.6,0.4588,0.14635123,0.599244,0.25440472,Neutral,Positive
28.987,30.907,"yes . 'm looking forward , .",Secondary,3,0.0,0.526,0.474,0.4019,0.002850042,0.097723104,0.8994269,Positive,Neutral
31.156,33.906,"'s days , see great system",Secondary,4,0.0,0.494,0.506,0.6249,0.014374152,0.17032169,0.8153042,Positive,Positive
33.992,35.292,talented medical staff .,Secondary,5,0.0,0.377,0.623,0.5106,0.020242963,0.43625095,0.5435061,Positive,Positive
35.368,37.498,thank allowing join .,Secondary,6,0.0,0.175,0.825,0.5719,0.00697317,0.2168749,0.7761519,Positive,Positive
37.579,39.749,"professor chae , 'm looking forward working .",Secondary,7,0.0,1.0,0.0,0.0,0.00323268,0.16382177,0.8329455,Positive,Neutral
40.373,43.173,n't meal together ? cafeteria serves good food .,Secondary,8,0.0,0.674,0.326,0.4404,0.014794239,0.19910632,0.78609943,Positive,Neutral
43.251,44.461,"yes , sir . yes , sir .",Secondary,9,0.0,0.27,0.73,0.6597,0.012452696,0.21080017,0.7767471,Positive,Positive
44.753,46.923,n't formal . talk casually .,Secondary,10,0.336,0.664,0.0,-0.1326,0.07378861,0.76995915,0.15625225,Neutral,Neutral
47.005,48.005,okay .,Secondary,11,0.0,0.0,1.0,0.2263,0.11996016,0.5391302,0.34090966,Neutral,Positive
48.548,51.178,professor min looks much better person tv .,Secondary,12,0.0,0.674,0.326,0.4404,0.056854434,0.3313497,0.6117959,Positive,Neutral
51.426,52.926,"'s lot tv shows ,",Secondary,13,0.0,1.0,0.0,0.0,0.13129309,0.73076457,0.13794239,Neutral,Neutral
53.011,55.221,performs surgeries .,Secondary,14,0.0,1.0,0.0,0.0,0.16003051,0.77855355,0.06141589,Neutral,Neutral
59.392,61.692,want take gong hyeongu 's surgery .,Secondary,15,0.0,0.794,0.206,0.0772,0.1074793,0.8412365,0.05128425,Neutral,Neutral
61.77,64.48,'s critical condition . surgery tricky .,Secondary,16,0.565,0.435,0.0,-0.4404,0.37507436,0.5822875,0.04263806,Neutral,Negative
64.564,66.784,"reporters eyes us ,",Secondary,17,0.0,1.0,0.0,0.0,0.13916191,0.7739612,0.08687688,Neutral,Neutral
66.858,68.568,"surgery must go well , matter .",Secondary,18,0.0,0.484,0.516,0.296,0.008085118,0.23698156,0.75493336,Positive,Positive
68.651,72.241,use surgery get name .,Secondary,19,0.0,1.0,0.0,0.0,0.21011406,0.7380893,0.051796578,Neutral,Neutral
72.322,75.912,surgery schedule next week full . n't time .,Chae Song-hwa,20,0.0,1.0,0.0,0.0,0.11978128,0.7309409,0.14927784,Neutral,Neutral
77.41,78.83,come .,Secondary,21,0.0,1.0,0.0,0.0,0.14756894,0.6386164,0.2138147,Neutral,Neutral
79.788,81.828,"minsik , heard third baby way .",Secondary,22,0.0,1.0,0.0,0.0,0.088617906,0.83031833,0.081063844,Neutral,Neutral
81.915,83.745,? know ?,Secondary,23,0.0,1.0,0.0,0.0,0.20664282,0.6884516,0.10490561,Neutral,Neutral
83.833,85.003,heard guys talking .,Secondary,24,0.0,1.0,0.0,0.0,0.07522645,0.80672616,0.11804736,Neutral,Neutral
85.085,86.455,go home .,Secondary,25,0.0,1.0,0.0,0.0,0.2508698,0.5900885,0.15904169,Neutral,Neutral
